Date/Time,kW,Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,241.3792006,32.72363849,112.6068229,0,34.43116061,33.10218689,79.70681534,0.564095705,3.33212,75.81059963
 01/01  02:00:00,215.6054837,30.71849095,91.10759405,0,34.43116061,33.10218689,62.48805604,0,3.33212,59.15593604
 01/01  03:00:00,225.0482196,32.32260898,114.5535871,0,19.46627941,30.61066878,64.08404614,0.078872735,3.33212,60.67305341
 01/01  04:00:00,192.5609721,31.52054996,83.88915795,0,19.46627941,30.61066878,64.00149375,0,3.33212,60.66937375
 01/01  05:00:00,232.109526,33.124668,113.1436324,0,19.46627941,30.61066878,83.83826633,0.114072786,3.33212,80.39207354
 01/01  06:00:00,228.6903506,32.32260898,99.29481149,0,19.46627941,30.61066878,109.5597622,0.168704977,8.3303,101.0607573
 01/01  07:00:00,327.8118104,33.92672702,123.5079601,0,42.69180509,54.3732441,155.3188024,0.055836414,16.6606,138.6023659
 01/01  08:00:00,400.9536141,36.02989092,154.055528,0,49.39604182,88.5934453,271.8736226,11.43757351,24.9909,235.4451491
 01/01  09:00:00,425.9274616,35.67402731,150.0993163,0,57.6566863,112.0301055,380.8965764,4.34705166,33.3212,343.2283247
 01/01  10:00:00,368.1203699,36.11617692,147.6157782,0,50.95244957,81.16842718,313.8683578,0,66.8089,247.0594578
 01/01  11:00:00,322.6759169,36.35789991,146.91316,0,42.69180509,68.96561338,272.5423749,0,83.4695,189.0728749
 01/01  12:00:00,322.5472193,36.3066517,151.1291617,0,38.28612804,68.96561338,230.2875219,0.017588742,83.4695,146.8004332
 01/01  13:00:00,322.1197085,36.33234562,151.7100717,0,38.28612804,68.96561338,198.6675237,0.087183333,83.4695,115.1108404
 01/01  14:00:00,303.6247386,36.27866671,152.4860462,0,31.58189131,56.72759527,185.2389003,1.396972782,75.1392,108.7027275
 01/01  15:00:00,304.6670728,36.30846138,153.6897318,0,31.58189131,56.72759527,178.9674891,1.906069806,66.8089,110.2525193
 01/01  16:00:00,304.4716109,36.33457937,153.4699918,0,31.58189131,56.72759527,190.5942467,2.328469432,75.1392,113.1265772
 01/01  17:00:00,335.4105426,36.04804404,155.5467473,0,31.58189131,61.66109527,175.0105748,2.711557599,91.7998,80.49921724
